"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD1021","N/D","SCS1","Deputy Director Framework & Tooling","Deputy Director Framework & Tooling","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD507","2185707","0.86","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"OD1022","N/D","SCS1","Deputy Director CSG Briefing Team","Deputy Director CSG Briefing Team","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","498673","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD1024T","Vacant","SCS1","Service Ownership Delivery Director","Service Ownership Delivery Director","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD1025","N/D","SCS1","DD Threat Management","DD Threat Management","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","5900403","1.00","N/A","N/A","","Operational Delivery Profession","Wales","nan","1.00"
"OD1026","N/D","SCS1","Director of Engineering","Director of Engineering","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","5746112","1.00","N/A","N/A","","Digital, Data and Technology Professions","Wales","nan","1.00"
"OD1028","N/D","SCS1","Deputy Director Investment Zones","Deputy Director Investment Zones","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","297067","0.60","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD1029","N/D","SCS1","Principle Head of Service Management Delivery","Principle Head of Service Management Delivery","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","3509584","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD1030","N/D","SCS1","Principle Head of Service Lifecycle Management","Principle Head of Service Lifecycle Management","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","3749853","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD1031","N/D","SCS1","Deputy Director Enterprise Live Services","Deputy Director Enterprise Live Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","0","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD1032","N/D","SCS1","Distinguished Engineer - Contact Engagement Platform","Distinguished Engineer - Contact Engagement Platform","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD814","1720907","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD1034","N/D","SCS1","Pensions Project Lead","Pensions Project Lead","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","0","0.43","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1035","N/D","SCS1","Head of Enterprise Architecture -CDIO Strategic Direction","Head of Enterprise Architecture -CDIO Strategic Direction","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD1036","Vacant","SCS1","Deputy Director for Expert Advice Service & Migrations and Exits","Deputy Director for Expert Advice Service & Migrations and Exits","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 07/10/2025","1.00"
"OD1039","N/D","SCS1","Programme Delivery Manager","Programme Delivery Manager","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD892","2247991","1.00","N/A","N/A","","Project Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD1040","N/D","SCS1","Programme Director Pensions","Programme Director Pensions","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD767","2826018","0.92","N/A","N/A","","Project Delivery Profession","London","Jobshare","1.00"
"OD1040","N/D","SCS1","Programme Director Pensions","Programme Director Pensions","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD767","2826018","0.69","N/A","N/A","","Project Delivery Profession","London","Jobshare","1.00"
"OD1041","Louis Roberts","SCS2","Director Estates and Locations Programme","Director Estates and Locations Programme","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","8067152","1.00","140000","140000","","Government Finance Profession","West Midlands","nan","1.00"
"OD1042","Eliminated","SCS1","Director of UBS Business, Risk, Performance & Planning","Director of UBS Business, Risk, Performance & Planning","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post eliminated from 26/03/2026","1.00"
"OD1043","N/D","SCS1","Deputy Director UBS HR Operations","Deputy Director UBS HR Operations","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1017","17242609","1.00","N/A","N/A","","Other","Wales","nan","1.00"
"OD1045","N/D","SCS1","VAT Reliefs, Financial Services, and Insurance Premium Tax","VAT Reliefs, Financial Services, and Insurance Premium Tax","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","1987762","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD1046","Vacant","SCS1","PMO Director","PMO Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/11/2024","1.00"
"OD1048","N/D","SCS1","Programme Deputy Director - One Login","Programme Deputy Director - One Login","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","2629067","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1049","N/D","SCS1","Out on loan to VOA","Out on loan to VOA","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","1110495","1.00","N/A","N/A","","Government Finance Profession","Yorkshire and The Humber","nan","1.00"
"OD1050","N/D","SCS1","Deputy Director Head of Function - International Tax Compliance Co-Ordination","Deputy Director Head of Function - International Tax Compliance Co-Ordination","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","4500491","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD1051","Vacant","SCS1","Service Owner","Service Owner","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/11/2024","1.00"
"OD1052","N/D","SCS1","DD Professionalism & Customer Trust (PaCT)","DD Professionalism & Customer Trust (PaCT)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","2250934","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD1053","N/D","SCS1","Compliance Design and Response Deputy Director","Compliance Design and Response Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","585031","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD1057","Vacant","SCS1","Head of IT Change Delivery","Head of IT Change Delivery","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD1058","N/D","SCS1","Service owner: Finance and Corporate Services","Service owner: Finance and Corporate Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","913461","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD1061","Vacant","SCS1","Programme Director: CESA Futures","Programme Director: CESA Futures","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 16/02/2026","1.00"
"OD1062","N/D","SCS1","Programme Director: Data Warehouse & Integration","Programme Director: Data Warehouse & Integration","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD892","1353658","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1063","N/D","SCS1","Deputy Director, Risk and Control","Deputy Director, Risk and Control","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","1440522","1.00","N/A","N/A","","Government Finance Profession","North West","Jobshare","1.00"
"OD1063","N/D","SCS1","Deputy Director, Risk and Control","Deputy Director, Risk and Control","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","1440522","1.00","N/A","N/A","","Government Finance Profession","North West","Jobshare","1.00"
"OD1064","Vacant","SCS1","Deputy Litigation Director","Deputy Litigation Director","HM Revenue and Customs","HM Revenue and Customs","Legal","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 11/12/2024","1.00"
"OD1065","N/D","SCS1","Deputy Director Compliance Policy and Design Standards","Deputy Director Compliance Policy and Design Standards","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD721","1122793","1.00","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD1066T","N/D","SCS1","On loan out to HO","On loan out to HO","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","0","1.00","N/A","N/A","","Government Property Profession","East Midlands","nan","1.00"
"OD1067","N/D","SCS1","Deputy Director Organisational Design and Workforce Transformation","Deputy Director Organisational Design and Workforce Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1319005","1.00","N/A","N/A","","Human Resources Profession","North West","nan","1.00"
"OD1068","N/D","SCS1","Deputy Director Unity Process Transformation","Deputy Director Unity Process Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1243183","1.00","N/A","N/A","","Other","Scotland","nan","1.00"
"OD1070","N/D","SCS1","Deputy Director CCG Workforce PLanning & Growth","Deputy Director CCG Workforce PLanning & Growth","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","2414057","1.00","N/A","N/A","","Operational Delivery Profession","North East","nan","1.00"
"OD1071T","N/D","SCS1","Deputy Director Digital Fraud Remediation","Deputy Director Digital Fraud Remediation","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD931","2154963","1.00","N/A","N/A","","Operational Delivery Profession","North East","nan","1.00"
"OD1072","N/D","SCS1","Distinguished Engineer – Platform Engineering and Integration","Distinguished Engineer – Platform Engineering and Integration","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","0","1.00","N/A","N/A","","Other","South West","nan","1.00"
"OD1073T","N/D","SCS1","Deputy Director Channel Shift","Deputy Director Channel Shift","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD644","2207104","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD1074","Vacant","SCS1","TOM Programme Director","TOM Programme Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD1075T","Vacant","SCS1","Deputy Director, Compliance Strategy","Deputy Director, Compliance Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD1077","Vacant","SCS1","Deputy Director of Litigation Policy","Deputy Director of Litigation Policy","HM Revenue and Customs","HM Revenue and Customs","Legal","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 12/12/2024","1.00"
"OD1078","N/D","SCS1","Programme Director, Inheritance Tax (IHT) Digitisation","Programme Director, Inheritance Tax (IHT) Digitisation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","1155350","0.54","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"OD1079","N/D","SCS1","Programme Director, Contact Centre as a Service (CCaaS)","Programme Director, Contact Centre as a Service (CCaaS)","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1106","1335171","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD1080","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD1081","Vacant","SCS1","Deputy Director Change Delivery","Deputy Director Change Delivery","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 20/12/2024","1.00"
"OD1082","N/D","SCS1","Not in approved role - temporarily covering Covid 19 C3 Command control Centre","Not in approved role - temporarily covering Covid 19 C3 Command control Centre","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","4100890","0.89","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD1084T","Eliminated","SCS1","Director of Digital Design","Director of Digital Design","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post eliminated from 27/03/2026","1.00"
"OD1085","N/D","SCS1","DD Borders Business Platform Owner","DD Borders Business Platform Owner","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","484660","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1086","N/D","SCS1","DD Data Strategy & Provision","DD Data Strategy & Provision","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","6189229","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD1087T","N/D","SCS1","Deputy Director, Innovation Delivery","Deputy Director, Innovation Delivery","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD835","987504","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD1088","N/D","SCS1","Strategic Debt Design & Delivery Deputy Director","Strategic Debt Design & Delivery Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD277","9581521","1.00","N/A","N/A","","Operational Delivery Profession","West Midlands","nan","1.00"
"OD1089","N/D","SCS1","DD CFO Finance Director & Head of Finance Controls","DD CFO Finance Director & Head of Finance Controls","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","1768637","1.00","N/A","N/A","","Government Finance Profession","North West","nan","1.00"
"OD1090","N/D","SCS1","COTAX to ETMP Programme Director","COTAX to ETMP Programme Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD892","1049126","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD1091","N/D","SCS1","DD Internal Audit - Role 2","DD Internal Audit - Role 2","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD256","1733562","1.00","N/A","N/A","","Internal Audit Profession","North West","nan","1.00"
"OD1092","Mike Howe","SCS2","Head of Tax, Customs & Compliance Academy (TCCA)","Head of Tax, Customs & Compliance Academy (TCCA)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","1354400","1.00","110000","110000","","Operational Delivery Profession","North West","nan","1.00"
"OD1093T","N/D","SCS1","Debt Management Task Force Deputy Director","Debt Management Task Force Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD277","3880792","1.00","N/A","N/A","","Operational Delivery Profession","Scotland","nan","1.00"
"OD1094","N/D","SCS1","Deputy Director, KAI Borders and Trade Analysis","Deputy Director, KAI Borders and Trade Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","2431575","1.00","N/A","N/A","","Government Statistical Service Profession","London","nan","1.00"
"OD1095","N/D","SCS1","Deputy Director Tax Administration","Deputy Director Tax Administration","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","1911171","0.81","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD1096","Vacant","SCS1","DD Small Business Evasion and Enforcement.","DD Small Business Evasion and Enforcement.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 26/03/2026","1.00"
"OD1097T","N/D","SCS1","Deputy Director Wealthy Accelerated Response","Deputy Director Wealthy Accelerated Response","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD306","1932430","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1.00"
"OD1098","Richard Forster","SCS2","Director of Customer Registration and Record Management","Director of Customer Registration and Record Management","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","258792","0.70","140000","140000","","Operational Delivery Profession","West Midlands","Reporting To Costs Escalated to OD103","1.00"
"OD1099","N/D","SCS1","Deputy Director of Customer Registration and Records Management","Deputy Director of Customer Registration and Records Management","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD1098","503608","1.00","N/A","N/A","","Operational Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD1100","Vacant","SCS1","Deputy Director of Design and Journey","Deputy Director of Design and Journey","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 02/04/2025","1.00"
"OD1101","Eliminated","SCS1","Programme Director EcRM (&UCR)","Programme Director EcRM (&UCR)","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post eliminated from 24/03/2026","1.00"
"OD1102T","N/D","SCS1","N/A - in unapproved role - see notes","N/A - in unapproved role - see notes","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","459341","1.00","N/A","N/A","","Digital, Data and Technology Professions","Wales","nan","1.00"
"OD1103T","N/D","SCS1","Service Owner - Platform","Service Owner - Platform","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD695","1913991","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD1104","Carolyn Pratley","SCS2","Director Customer Management Programmes","Director Customer Management Programmes","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","439082","1.00","130000","130000","","Project Delivery Profession","London","nan","1.00"
"OD1105","N/D","SCS1","Deputy Director Corporation Tax Strategy and Transformation","Deputy Director Corporation Tax Strategy and Transformation","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","696584","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD1106","Peter Walsh","SCS2","Programme Director for eCRM","Programme Director for eCRM","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","2189594","1.00","110000","110000","","Project Delivery Profession","North East","nan","1.00"
"OD1107","N/D","SCS1","Deputy Director, Risk & Intelligence Service – Head of RIS Data and Risking Services","Deputy Director, Risk & Intelligence Service – Head of RIS Data and Risking Services","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","4817841","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD1108T","Vacant","SCS1","Deputy Director Strategy & Implementation","Deputy Director Strategy & Implementation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/05/2025","1.00"
"OD1109","N/D","SCS1","Deputy Director Financial Management and Control (FMC)","Deputy Director Financial Management and Control (FMC)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD562","3166111","1.00","N/A","N/A","","Government Finance Profession","North West","nan","1.00"
"OD1110T","Vacant","SCS1","Programme Manager","Programme Manager","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 02/05/2025","1.00"
"OD1111","N/D","SCS1","Deputy Director Service Portfolio","Deputy Director Service Portfolio","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD977","1226893","1.00","N/A","N/A","","Government Finance Profession","West Midlands","nan","1.00"
"OD1112","N/D","SCS1","Proramme Director Registration and Record Management","Proramme Director Registration and Record Management","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1104","2236465","1.00","N/A","N/A","","Project Delivery Profession","Scotland","nan","1.00"
"OD1113","N/D","SCS1","Programmr Director DMS Integration","Programmr Director DMS Integration","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","3187858","1.00","N/A","N/A","","Project Delivery Profession","Wales","nan","1.00"
"OD1114","N/D","SCS1","Pogramme Director DMS Delivery","Pogramme Director DMS Delivery","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","2512057","1.00","N/A","N/A","","Digital, Data and Technology Professions","Northern Ireland","nan","1.00"
"OD1115","N/D","SCS1","Deputy Director Business Service Owner for HMRC Digital Services","Deputy Director Business Service Owner for HMRC Digital Services","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD931","1353968","1.00","N/A","N/A","","Operational Delivery Profession","Scotland","nan","1.00"
"OD1117","N/D","SCS1","DD Capability Design, Curriculum & Content","DD Capability Design, Curriculum & Content","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1092","5291162","1.00","N/A","N/A","","Operational Delivery Profession","West Midlands","nan","1.00"
"OD1118","N/D","SCS1","Deputy Director Strategy, Performance & Change","Deputy Director Strategy, Performance & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1092","884333","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD1119","N/D","SCS1","DD Learning Delivery and Professional Development","DD Learning Delivery and Professional Development","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1092","81257977","1.00","N/A","N/A","","Operational Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD1120T","N/D","SCS1","DD Learning and Talent Operations","DD Learning and Talent Operations","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","1754277","1.00","N/A","N/A","","Human Resources Profession","Wales","nan","1.00"
"OD1121","Joanne Bradshaw","SCS2","Senior Responsible Owner (SRO) Managing CCG Effectively","Senior Responsible Owner (SRO) Managing CCG Effectively","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD768","750518","1.00","110000","110000","","Other","North West","nan","1.00"
"OD1122","N/D","SCS1","Deputy Director Customer Registration & Records Management – Identity Fraud Prevention","Deputy Director Customer Registration & Records Management – Identity Fraud Prevention","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD1098","265733","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD1123","N/D","SCS1","Deputy Director HMRC TOM","Deputy Director HMRC TOM","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1162","598301","1.00","N/A","N/A","","Other","West Midlands","nan","1.00"
"OD1124","N/D","SCS1","DD Unity Technology Design and Transformation","DD Unity Technology Design and Transformation","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD1003","0","1.00","N/A","N/A","","Other","Scotland","nan","1.00"
"OD1125","N/D","SCS1","SRO Complex Customer Management","SRO Complex Customer Management","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD768","853474","1.00","N/A","N/A","","Operational Delivery Profession","Wales","nan","1.00"
"OD1126","N/D","SCS1","DD Supplier Relationship Management","DD Supplier Relationship Management","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD977","3077524","0.94","N/A","N/A","","Operational Delivery Profession","Northern Ireland","nan","1.00"
"OD1127","N/D","SCS1","Programme Director Data Centre Exit","Programme Director Data Centre Exit","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD892","514413","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1128","N/D","SCS1","Deputy Director, Strategic Performance","Deputy Director, Strategic Performance","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","357294","1.00","N/A","N/A","","Government Property Profession","North West","nan","1.00"
"OD1129","Robert MacFarlane","SCS2","Director Operational Resilience","Director Operational Resilience","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD107","87612","1.00","120000","120000","","Other","North East","Reporting To Costs Escalated to OD107","1.00"
"OD1130T","N/D","SCS1","Deputy Director Tax Debt Strategy","Deputy Director Tax Debt Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD277","412094","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
